 0.10748023E+00  0.12187115E+00  0.44224000E+00  0.32036885E+00
 0.10889444E+00  0.13242462E+00  0.44071000E+00  0.30828538E+00
 0.11030866E+00  0.14282808E+00  0.43916000E+00  0.29633192E+00
 0.11172287E+00  0.15308154E+00  0.43759000E+00  0.28450846E+00
 0.11313708E+00  0.16318501E+00  0.43600000E+00  0.27281499E+00
 0.11455130E+00  0.17313847E+00  0.43439000E+00  0.26125153E+00
 0.11596551E+00  0.18294194E+00  0.43276000E+00  0.24981806E+00
 0.11737973E+00  0.19259540E+00  0.43111000E+00  0.23851460E+00
 0.11879394E+00  0.20209887E+00  0.42944000E+00  0.22734113E+00
 0.12020815E+00  0.21145233E+00  0.42775000E+00  0.21629767E+00
 0.12162237E+00  0.22065580E+00  0.42604000E+00  0.20538420E+00
 0.12303658E+00  0.22970926E+00  0.42431000E+00  0.19460074E+00
 0.12445079E+00  0.23861273E+00  0.42256000E+00  0.18394727E+00
 0.12586501E+00  0.24736619E+00  0.42079000E+00  0.17342381E+00
 0.12727922E+00  0.25596966E+00  0.41900000E+00  0.16303034E+00
 0.12869343E+00  0.26442312E+00  0.41719000E+00  0.15276688E+00
 0.13010765E+00  0.27272659E+00  0.41536000E+00  0.14263341E+00
 0.13152186E+00  0.28088005E+00  0.41351000E+00  0.13262995E+00
 0.13293607E+00  0.28888351E+00  0.41164000E+00  0.12275649E+00
 0.13435029E+00  0.29673698E+00  0.40975000E+00  0.11301302E+00
 0.13576450E+00  0.30444044E+00  0.40784000E+00  0.10339956E+00
 0.13717872E+00  0.31199391E+00  0.40591000E+00  0.93916092E-01
 0.13859293E+00  0.31939737E+00  0.40396000E+00  0.84562627E-01
 0.14000714E+00  0.32665084E+00  0.40199000E+00  0.75339163E-01
 0.14142136E+00  0.33375430E+00  0.40000000E+00  0.66245698E-01
 0.14283557E+00  0.34070777E+00  0.39799000E+00  0.57282233E-01
 0.14424978E+00  0.34751123E+00  0.39596000E+00  0.48448769E-01
 0.14566400E+00  0.35416470E+00  0.39391000E+00  0.39745304E-01
 0.14707821E+00  0.36066816E+00  0.39184000E+00  0.31171840E-01
 0.14849242E+00  0.36702162E+00  0.38975000E+00  0.22728375E-01
 0.14990664E+00  0.37322509E+00  0.38764000E+00  0.14414911E-01
 0.15132085E+00  0.37927855E+00  0.38551000E+00  0.62314460E-02
 0.15273506E+00  0.38518202E+00  0.38336000E+00  0.18220185E-02
 0.15414928E+00  0.39093548E+00  0.38119000E+00  0.97454831E-02
 0.15556349E+00  0.39653895E+00  0.37900000E+00  0.17538948E-01
 0.15697771E+00  0.40199241E+00  0.37679000E+00  0.25202412E-01
 0.15839192E+00  0.40729588E+00  0.37456000E+00  0.32735877E-01
 0.15980613E+00  0.41244934E+00  0.37231000E+00  0.40139341E-01
 0.16122035E+00  0.41745281E+00  0.37004000E+00  0.47412806E-01
 0.16263456E+00  0.42230627E+00  0.36775000E+00  0.54556270E-01
 0.16404877E+00  0.42700973E+00  0.36544000E+00  0.61569735E-01
 0.16546299E+00  0.43156320E+00  0.36311000E+00  0.68453199E-01
 0.16687720E+00  0.43596666E+00  0.36076000E+00  0.75206664E-01
 0.16829141E+00  0.44022013E+00  0.35839000E+00  0.81830128E-01
