ZONE T="    0" 
 0.30300000E+00  0.30300000E+00  0.10000000E+00
 0.59700000E+00  0.59700000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="    1" 
 0.30600000E+00  0.30600000E+00  0.10000000E+00
 0.59400000E+00  0.59400000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="    2" 
 0.30900000E+00  0.30900000E+00  0.10000000E+00
 0.59100000E+00  0.59100000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="    3" 
 0.31200000E+00  0.31200000E+00  0.10000000E+00
 0.58800000E+00  0.58800000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="    4" 
 0.31500000E+00  0.31500000E+00  0.10000000E+00
 0.58500000E+00  0.58500000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="    5" 
 0.31800000E+00  0.31800000E+00  0.10000000E+00
 0.58200000E+00  0.58200000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="    6" 
 0.32100000E+00  0.32100000E+00  0.10000000E+00
 0.57900000E+00  0.57900000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="    7" 
 0.32400000E+00  0.32400000E+00  0.10000000E+00
 0.57600000E+00  0.57600000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="    8" 
 0.32700000E+00  0.32700000E+00  0.10000000E+00
 0.57300000E+00  0.57300000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="    9" 
 0.33000000E+00  0.33000000E+00  0.10000000E+00
 0.57000000E+00  0.57000000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="   10" 
 0.33300000E+00  0.33300000E+00  0.10000000E+00
 0.56700000E+00  0.56700000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="   11" 
 0.33600000E+00  0.33600000E+00  0.10000000E+00
 0.56400000E+00  0.56400000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="   12" 
 0.33900000E+00  0.33900000E+00  0.10000000E+00
 0.56100000E+00  0.56100000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="   13" 
 0.34200000E+00  0.34200000E+00  0.10000000E+00
 0.55800000E+00  0.55800000E+00  0.10000000E+00
 0.79000000E+00  0.79000000E+00  0.10000000E+00
ZONE T="   14" 
 0.34500000E+00  0.34500000E+00  0.10000000E+00
